temp_id,nmbr_f_,center_x,center_y,level
338,0,121.475,21.85416754,1
339,0,121.525,21.85416754,1
342,0,121.675,21.85416754,1
343,0,121.725,21.85416754,1
344,0,121.775,21.85416754,1
345,0,121.825,21.85416754,1
346,0,120.425,21.89583421,1
348,0,120.525,21.89583421,1
359,0,121.075,21.89583421,1
360,0,121.125,21.89583421,1
361,0,121.175,21.89583421,1
362,0,121.225,21.89583421,1
363,0,121.275,21.89583421,1
364,0,121.325,21.89583421,1
365,0,121.375,21.89583421,1
366,0,121.425,21.89583421,1
367,0,121.475,21.89583421,1
368,0,121.525,21.89583421,1
371,0,121.675,21.89583421,1
372,0,121.725,21.89583421,1
373,0,121.775,21.89583421,1
374,0,121.825,21.89583421,1
375,0,120.375,21.93750087,1
377,0,120.475,21.93750087,1
378,0,120.525,21.93750087,1
391,0,121.175,21.93750087,1
393,0,121.275,21.93750087,1
394,0,121.325,21.93750087,1
395,0,121.375,21.93750087,1
396,0,121.425,21.93750087,1
397,0,121.475,21.93750087,1
402,0,121.725,21.93750087,1
403,0,121.775,21.93750087,1
404,0,121.825,21.93750087,1
405,0,120.375,21.97916754,1
408,0,120.525,21.97916754,1
433,0,121.775,21.97916754,1
435,0,120.325,22.02083421,1
436,0,120.375,22.02083421,1
463,0,121.725,22.02083421,1
464,0,121.775,22.02083421,1
466,0,120.275,22.06250088,1
468,0,120.375,22.06250088,1
469,0,120.425,22.06250088,1
482,0,121.075,22.06250088,1
484,0,121.175,22.06250088,1
485,0,121.225,22.06250088,1
486,0,121.275,22.06250088,1
495,0,121.725,22.06250088,1
496,0,121.775,22.06250088,1
498,0,120.225,22.10416754,1
499,0,120.275,22.10416754,1
500,0,120.325,22.10416754,1
501,0,120.375,22.10416754,1
502,0,120.425,22.10416754,1
503,0,120.475,22.10416754,1
518,0,121.225,22.10416754,1
519,0,121.275,22.10416754,1
520,0,121.325,22.10416754,1
528,0,121.725,22.10416754,1
529,0,121.775,22.10416754,1
530,0,121.825,22.10416754,1
531,0,120.225,22.14583421,1
533,0,120.325,22.14583421,1
535,0,120.425,22.14583421,1
551,0,121.225,22.14583421,1
552,0,121.275,22.14583421,1
553,0,121.325,22.14583421,1
559,0,121.625,22.14583421,1
561,0,121.725,22.14583421,1
562,0,121.775,22.14583421,1
563,0,121.825,22.14583421,1
564,0,120.175,22.18750088,1
583,0,121.125,22.18750088,1
584,0,121.175,22.18750088,1
585,0,121.225,22.18750088,1
586,0,121.275,22.18750088,1
587,0,121.325,22.18750088,1
588,0,121.375,22.18750088,1
593,0,121.625,22.18750088,1
